"","MCS.F.1","MCS.F.2","MCS.F.3","MCS.F.4","MCS.M.1","MCS.M.2","MCS.M.3","PR.F.1","PR.F.2","PR.F.4","PR.M.1","PR.M.2","PR.M.3"
"ENSMUSG00000051951_Xkr4",0.79810547956259,1.21597175802353,1.19260178708281,0.756450106380772,0.61968792706052,-0.0672613228721192,-0.131425219647966,0.513591574244598,1.14786385317093,0.840266840403697,0.219882313951849,0.251968580898132,0.0696713565186587
"ENSMUSG00000102343_Gm37381",1.29375829357454,1.777532383088,1.16246918054643,0.927473671942639,0.409192312336291,0.766677391442723,0.654397854258996,1.26550862190294,1.55266250208647,1.48542850307858,-0.0892286466114651,0.707395513563232,0.698307857845076
"ENSMUSG00000025900_Rp1",7.17249189298419,7.29494083174636,6.89826369359784,6.7763331810232,6.61304310775495,6.71150938711197,6.08251258279811,7.1149174527049,7.10866665562156,7.08476146604417,6.18550478074065,6.23153299709358,6.09969853071637
"ENSMUSG00000033845_Mrpl15",3.93383957173234,3.87718241754373,3.66439766713415,3.62914356204282,3.89597938438614,3.86713222116828,3.75194508051794,3.64930788297815,4.04500798015931,3.84363913140157,3.70427343267984,3.69226372794861,3.76121801616304
"ENSMUSG00000104217_Gm37988",0.680807441145563,0.94346300744347,0.613293165333731,-0.00240572081256727,0.931598573007191,0.538419648570252,0.859439539495751,0.481401386859759,1.04829807309096,0.719095404936475,0.659293846778924,0.783463551266944,0.68062831475918
"ENSMUSG00000033813_Tcea1",3.00640456134625,3.60337836824116,3.22838698050093,3.20328608593044,3.28242663290904,3.29781438742236,3.02754503730256,3.36166714371125,3.46737832641588,3.28676043810057,3.23361529165138,3.18634815720549,3.17215306119558
"ENSMUSG00000033793_Atp6v1h",5.70216204302924,5.94136979136376,5.83213518389067,5.76529541821676,5.89154719959981,6.00804449549412,5.78836212962034,6.02994737539436,5.72519280525801,5.87415105612476,5.76594004636396,5.95655777672002,5.95507243549007
"ENSMUSG00000025907_Rb1cc1",6.99152238712333,7.34880615073567,7.08730594246121,7.15070357403242,7.25074218766121,7.19546632771482,7.05852387897821,7.50596035946328,7.17781585088495,7.23735257255989,7.19346171172105,7.30255483733022,7.31085687760644
"ENSMUSG00000090031_4732440D04Rik",4.3901583976371,4.38566904703722,4.10951825068342,4.30462072981471,4.4171902158064,4.37003245578011,4.29734819602524,4.32966020746665,4.6201160229938,4.34512356738292,4.08965051296357,4.14570851333995,4.28306708143727
"ENSMUSG00000051285_Pcmtd1",6.67451434240245,6.93811728025662,6.8095997139668,6.95661469973508,6.92473510972152,7.05126278574568,6.88234088955864,7.15341472568567,6.90265599806469,7.07649859167866,6.81360779610648,7.09526103537187,7.13763080217136
"ENSMUSG00000097797_Gm26901",3.41269346002756,3.45037222754694,3.50543733385478,3.5197386331881,3.61272031901544,3.62662269010134,3.40435832175588,3.41802624746539,3.34683730337375,3.28676043810057,3.6114707452953,3.5525091076312,3.6083042738398
"ENSMUSG00000025909_Sntg1",0.536336117006145,0.995446692374264,0.839626878441967,-0.00240572081256727,-0.0632635000883087,0.0530235567412647,0.279051889809665,0.0258672101008319,0.808546043077695,0.654466419711506,-0.0629522209921431,-0.0774696522744121,-0.0142241611793102
"ENSMUSG00000103411_Gm18300",-1.84070166606897,-0.901086967706368,-2.11687104786652,-1.27353181415968,-1.36127027412122,-1.6519899906941,-1.98908050280377,-1.48770996581311,-1.1085410783801,-2.29454460847529,-2.00632040432282,-2.05599931149576,-1.33168763501143
"ENSMUSG00000061024_Rrs1",2.1932086122939,2.08799853802453,2.1021546457632,2.18891206067802,2.15230103198259,1.8848234403185,2.11711821895961,1.78393455979719,1.7375404616372,2.12714563067254,2.15857206042952,1.7937910874773,1.83960638433876
"ENSMUSG00000025911_Adhfe1",6.55460462579101,6.70399872720898,6.409147808219,6.63496164046075,6.57233566647425,6.54967776138577,6.57243136028896,6.8877807187097,6.78082198907298,6.93614602444181,6.77247445116171,6.50970156851045,6.51669874564084
"ENSMUSG00000079671_2610203C22Rik",1.94873983371043,2.28883317819824,2.15667301587828,1.97150629973131,1.92021469786097,1.7370201049582,2.03488148988237,1.65998610586103,1.98839325721337,2.0663418744367,1.59138231819726,2.07679399436094,2.02616093350013
"ENSMUSG00000025912_Mybl1",-1.10196083068319,-0.249414410623862,-0.203674983914027,-0.675167033994232,-0.660619038800418,-0.683870324174985,-0.638213963738883,-0.574359206936655,-0.397264739419232,-0.611410328511914,-0.92863717916035,-0.805915345582612,-0.656404498532783
"ENSMUSG00000045210_Vcpip1",4.57307119826995,4.74199684355003,4.53989280418288,4.4625170511053,4.77504213860689,4.75705430900683,4.62877633282766,4.78848369167228,4.65558982713051,4.65075656941779,4.58428983248745,4.62552420572284,4.65306956885666
"ENSMUSG00000097893_1700034P13Rik",-1.00049708414908,-0.514325333697168,-0.71668106345419,-0.871628647040596,-0.486551184687877,-0.503319170295468,-0.281406091175937,-0.64366720550535,-1.24624600241165,-0.872016204720913,-0.199398817244826,-0.41733195021295,-0.23133039483325
"ENSMUSG00000025915_Sgk3",6.12652299374938,6.26586126713367,6.190477183919,6.23470938071365,6.22298635756317,6.26315042328325,6.19210351917199,6.42479293483064,6.17886070702015,6.31017622804492,6.1957429817281,6.32438032371541,6.42444236668104
"ENSMUSG00000046101_Mcmdc2",1.14668435463457,0.775229802219461,0.741124442598949,0.177876345038633,0.57549346073729,0.857581881838361,-0.131425219647966,0.973141456501423,0.433348295118528,0.586805887953857,0.323114466915698,0.667802587010458,0.248313321708145
"ENSMUSG00000098234_Snhg6",1.1577016057468,1.35511095090369,1.34794104169545,0.927473671942639,1.19523592775746,0.857581881838361,0.883136040439284,1.24648037796866,1.4560672014504,0.952044978265117,0.492140220379205,0.907633830663076,0.800063432581334
"ENSMUSG00000025916_Ppp1r42",-1.59901052294261,-1.52563598448581,-2.11687104786652,-1.09912553822839,-1.08815695783381,-0.966231292440972,-0.85629978318824,-0.959931580277626,-1.3984952899441,-2.17226955555747,-0.629724023282893,-0.647687878960844,-0.749203773398627
"ENSMUSG00000025917_Cops5",3.68434386942652,3.80861243886414,3.63726629454645,3.5978178169447,3.79360009339925,3.71132642523791,3.54097443017927,3.77745635513961,3.84548577950246,3.73257967604945,3.69467981161665,3.85094066735055,3.82899121892888
"ENSMUSG00000056763_Cspp1",5.44039219476832,5.78215622114829,5.55391800588604,5.36581489081015,5.58381291669341,5.62701974646804,5.43659407538288,5.76918126617989,5.49336348910606,5.4740112347553,5.5908182327642,5.49028401069522,5.39496592838387
"ENSMUSG00000067851_Arfgef1",7.3606435583199,7.61077274310297,7.43719197372756,7.734895558028,7.71931883359143,7.59775222876665,7.61674927890146,7.8419052798071,7.83531520814797,7.73982726735843,7.68597966889551,7.72756166527397,7.72116824780892
"ENSMUSG00000048960_Prex2",3.3444236069551,3.71352689416795,3.36696116823355,2.86204291557298,3.49011711500193,2.41283288237014,2.3475055855067,3.05766502358702,3.45632248837944,3.11727041055097,2.36136620319967,3.24133020142985,3.03626292527592
"ENSMUSG00000057715_A830018L16Rik",-0.507383629704665,0.338670205019424,-0.3264972432103,-0.16484076968547,-0.660619038800418,-0.447830027126441,-0.779882418705358,-0.270403440225763,-0.760186297579067,-0.229593575376453,-0.750333355725532,-0.294930553772044,-0.612151369182261
"ENSMUSG00000016918_Sulf1",3.13182132981187,3.54933506935001,3.18782393933329,3.13509394665123,3.18835317010683,2.03844357704179,2.61141478782617,2.70026266645064,3.35281158374367,3.00511301192625,2.04235306315192,3.02335973833863,2.63861763939972
"ENSMUSG00000025938_Slco5a1",7.27659820892124,7.20213055529755,6.94492635848982,7.06309845842159,7.35102719777719,7.11656352883563,7.15353476148299,7.15946735037198,7.15406364997644,7.07263920996274,7.0966168011176,7.12799919187143,7.18894721398681
"ENSMUSG00000005886_Ncoa2",8.32096055565848,8.30862175517013,8.28317652322436,8.38246133906186,8.3922867378576,8.29151214846929,8.23630738198238,8.51389914807864,8.43913524832817,8.41029050500095,8.32633743709235,8.4860068971027,8.39083299074118
"ENSMUSG00000101476_Gm29570",-0.343074760763192,-0.170918483699736,-0.508438274179858,-0.737728064389676,0.494737777099456,0.0909886128454093,-0.229660568044508,-0.164740544960862,0.266153369572536,-0.291914858156424,-0.228307999852059,-0.375366977677503,-0.198242286267949
